
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
      266    31204  0.373760E+01  0.320189E+01 -0.742608E+00  0.991154E+04  0.563577E+00  0.795371E+02
      279    30194  0.387786E+01  0.335023E+01 -0.993385E+00  0.104467E+05  0.588177E+00  0.845128E+02
      292    29287  0.400819E+01  0.347146E+01 -0.114662E+01  0.109568E+05  0.611615E+00  0.891713E+02
      306    28320  0.416066E+01  0.362578E+01 -0.136932E+01  0.115667E+05  0.639033E+00  0.954791E+02
      321    27350  0.432995E+01  0.378790E+01 -0.121437E+01  0.121735E+05  0.667119E+00  0.101226E+03
      337    26402  0.449992E+01  0.395246E+01 -0.113835E+01  0.128683E+05  0.698104E+00  0.108702E+03
      353    25521  0.467928E+01  0.411644E+01 -0.826015E+00  0.135039E+05  0.727393E+00  0.115586E+03
      370    24646  0.487832E+01  0.431776E+01 -0.919664E+00  0.141666E+05  0.758135E+00  0.122193E+03
      388    23776  0.508626E+01  0.450179E+01 -0.101726E+01  0.148572E+05  0.790468E+00  0.129057E+03
      407    22974  0.529607E+01  0.472850E+01 -0.118978E+01  0.156328E+05  0.824859E+00  0.136860E+03
      427    22161  0.554591E+01  0.498697E+01 -0.131030E+01  0.163338E+05  0.858472E+00  0.143692E+03
      448    21386  0.580277E+01  0.525110E+01 -0.131802E+01  0.171489E+05  0.895430E+00  0.152326E+03
      470    20666  0.606455E+01  0.554470E+01 -0.979767E+00  0.180157E+05  0.933654E+00  0.161081E+03
      493    19940  0.634614E+01  0.583203E+01 -0.112404E+01  0.190112E+05  0.976401E+00  0.171445E+03
      517    19213  0.662177E+01  0.608165E+01 -0.114865E+01  0.199564E+05  0.101913E+01  0.181427E+03
      542    18556  0.692299E+01  0.635462E+01 -0.134686E+01  0.210163E+05  0.106419E+01  0.193065E+03
      569    17887  0.723900E+01  0.665091E+01 -0.134178E+01  0.221593E+05  0.111299E+01  0.206122E+03
      597    17235  0.757134E+01  0.696255E+01 -0.132116E+01  0.231426E+05  0.115874E+01  0.218256E+03
      626    16629  0.789861E+01  0.726441E+01 -0.143385E+01  0.242225E+05  0.120686E+01  0.231979E+03
      657    16049  0.830114E+01  0.768659E+01 -0.123989E+01  0.253042E+05  0.125562E+01  0.242873E+03
      689    15463  0.868370E+01  0.808968E+01 -0.420610E+00  0.262998E+05  0.130415E+01  0.255339E+03
      723    14924  0.909702E+01  0.852119E+01 -0.784040E+00  0.274927E+05  0.135725E+01  0.268033E+03
      759    14364  0.950738E+01  0.893118E+01 -0.524709E+00  0.288865E+05  0.141810E+01  0.282732E+03
      796    13832  0.997759E+01  0.929819E+01 -0.118516E+01  0.304869E+05  0.148458E+01  0.300860E+03
      835    13360  0.104287E+02  0.969303E+01 -0.102292E+01  0.318790E+05  0.154469E+01  0.314912E+03
      876    12870  0.109545E+02  0.102265E+02 -0.121875E+01  0.334543E+05  0.161223E+01  0.332683E+03
      919    12405  0.114918E+02  0.108322E+02 -0.724975E+00  0.352443E+05  0.168555E+01  0.355804E+03
      964    11984  0.120762E+02  0.114635E+02 -0.665932E+00  0.370539E+05  0.175838E+01  0.374623E+03
