Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 16384
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 16384
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 16374
NTEND= 16384
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=14749)= 1337.9798204756303
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -4.903000E+04   -4.903000E+03   -3.664480E+00    2.104773E-05    2.816143E-02  
 -4.893000E+04   -4.893000E+03   -3.657006E+00    1.219555E-05    1.631741E-02  
 -4.883000E+04   -4.883000E+03   -3.649532E+00    4.198824E-06    5.617942E-03  
 -4.873000E+04   -4.873000E+03   -3.642058E+00    1.117456E-05    1.495134E-02  
 -4.863000E+04   -4.863000E+03   -3.634584E+00    5.810495E-06    7.774324E-03  
 -4.853000E+04   -4.853000E+03   -3.627110E+00    8.840399E-06    1.182828E-02  
 -4.843000E+04   -4.843000E+03   -3.619636E+00    1.178692E-05    1.577066E-02  
 -4.833000E+04   -4.833000E+03   -3.612162E+00    9.242977E-06    1.236692E-02  
 -4.823000E+04   -4.823000E+03   -3.604688E+00    8.781785E-06    1.174985E-02  
 -4.813000E+04   -4.813000E+03   -3.597214E+00    1.639446E-05    2.193546E-02  
 -4.803000E+04   -4.803000E+03   -3.589740E+00    9.942006E-06    1.330220E-02  
 -4.793000E+04   -4.793000E+03   -3.582266E+00    1.177715E-05    1.575760E-02  
 -4.783000E+04   -4.783000E+03   -3.574792E+00    2.707933E-07    3.623159E-04  
 -4.773000E+04   -4.773000E+03   -3.567318E+00    2.944278E-06    3.939385E-03  
 -4.763000E+04   -4.763000E+03   -3.559844E+00    1.293872E-05    1.731174E-02  
 -4.753000E+04   -4.753000E+03   -3.552370E+00    0.000000E+00    0.000000E+00  
 -4.743000E+04   -4.743000E+03   -3.544897E+00    1.058842E-05    1.416710E-02  
 -4.733000E+04   -4.733000E+03   -3.537423E+00    8.309268E-06    1.111763E-02  
 -4.723000E+04   -4.723000E+03   -3.529949E+00    1.286779E-05    1.721685E-02  
 -4.713000E+04   -4.713000E+03   -3.522475E+00    1.428882E-05    1.911816E-02  
 -4.703000E+04   -4.703000E+03   -3.515001E+00    2.751009E-05    3.680795E-02  
 -4.693000E+04   -4.693000E+03   -3.507527E+00    1.821491E-05    2.437119E-02  
 -4.683000E+04   -4.683000E+03   -3.500053E+00    2.041990E-05    2.732142E-02  
 -4.673000E+04   -4.673000E+03   -3.492579E+00    6.923947E-06    9.264101E-03  
 -4.663000E+04   -4.663000E+03   -3.485105E+00    3.323182E-05    4.446350E-02  
 -4.653000E+04   -4.653000E+03   -3.477631E+00    6.475646E-06    8.664284E-03  
 -4.643000E+04   -4.643000E+03   -3.470157E+00    1.160670E-05    1.552954E-02  
 -4.633000E+04   -4.633000E+03   -3.462683E+00    2.339768E-05    3.130563E-02  
 -4.623000E+04   -4.623000E+03   -3.455209E+00    1.678179E-05    2.245370E-02  
 -4.613000E+04   -4.613000E+03   -3.447735E+00    1.992479E-05    2.665896E-02  
 -4.603000E+04   -4.603000E+03   -3.440261E+00    1.653903E-05    2.212889E-02  
 -4.593000E+04   -4.593000E+03   -3.432787E+00    3.331502E-05    4.457483E-02  
 -4.583000E+04   -4.583000E+03   -3.425313E+00    3.664366E-05    4.902848E-02  
 -4.573000E+04   -4.573000E+03   -3.417839E+00    3.284224E-05    4.394225E-02  
 -4.563000E+04   -4.563000E+03   -3.410365E+00    3.034127E-05    4.059600E-02  
 -4.553000E+04   -4.553000E+03   -3.402891E+00    1.812465E-05    2.425041E-02  
 -4.543000E+04   -4.543000E+03   -3.395417E+00    2.059159E-05    2.755113E-02  
 -4.533000E+04   -4.533000E+03   -3.387943E+00    4.937684E-05    6.606521E-02  
 -4.523000E+04   -4.523000E+03   -3.380470E+00    2.007804E-05    2.686401E-02  
 -4.513000E+04   -4.513000E+03   -3.372996E+00    1.651684E-05    2.209920E-02  
 -4.503000E+04   -4.503000E+03   -3.365522E+00    7.475594E-06    1.000219E-02  
 -4.493000E+04   -4.493000E+03   -3.358048E+00    2.625653E-05    3.513070E-02  
 -4.483000E+04   -4.483000E+03   -3.350574E+00    2.584966E-05    3.458633E-02  
 -4.473000E+04   -4.473000E+03   -3.343100E+00    2.938441E-05    3.931574E-02  
 -4.463000E+04   -4.463000E+03   -3.335626E+00    1.262830E-05    1.689641E-02  
 -4.453000E+04   -4.453000E+03   -3.328152E+00    2.652231E-05    3.548631E-02  
 -4.443000E+04   -4.443000E+03   -3.320678E+00    3.981167E-05    5.326721E-02  
 -4.433000E+04   -4.433000E+03   -3.313204E+00    2.495270E-05    3.338621E-02  
 -4.423000E+04   -4.423000E+03   -3.305730E+00    1.246440E-05    1.667711E-02  
