Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=943947)= 30292.42479564817
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -1.198589E+06   -1.198589E+05   -3.956728E+00    1.046674E-04    3.358907E-06  
 -1.198489E+06   -1.198489E+05   -3.956398E+00    5.881828E-05    1.887551E-06  
 -1.198389E+06   -1.198389E+05   -3.956068E+00    9.235213E-05    2.963694E-06  
 -1.198289E+06   -1.198289E+05   -3.955738E+00    1.247537E-04    4.003501E-06  
 -1.198189E+06   -1.198189E+05   -3.955408E+00    1.860129E-04    5.969383E-06  
 -1.198089E+06   -1.198089E+05   -3.955078E+00    2.235499E-04    7.173992E-06  
 -1.197989E+06   -1.197989E+05   -3.954748E+00    1.983856E-04    6.366438E-06  
 -1.197889E+06   -1.197889E+05   -3.954418E+00    1.056465E-04    3.390327E-06  
 -1.197789E+06   -1.197789E+05   -3.954088E+00    7.933702E-05    2.546023E-06  
 -1.197689E+06   -1.197689E+05   -3.953757E+00    1.144459E-04    3.672711E-06  
 -1.197589E+06   -1.197589E+05   -3.953427E+00    1.012738E-04    3.250001E-06  
 -1.197489E+06   -1.197489E+05   -3.953097E+00    1.259381E-04    4.041508E-06  
 -1.197389E+06   -1.197389E+05   -3.952767E+00    2.801499E-04    8.990356E-06  
 -1.197289E+06   -1.197289E+05   -3.952437E+00    1.187384E-04    3.810463E-06  
 -1.197189E+06   -1.197189E+05   -3.952107E+00    1.555075E-04    4.990426E-06  
 -1.197089E+06   -1.197089E+05   -3.951777E+00    4.204372E-04    1.349235E-05  
 -1.196989E+06   -1.196989E+05   -3.951447E+00    2.199819E-04    7.059489E-06  
 -1.196889E+06   -1.196889E+05   -3.951117E+00    9.944924E-05    3.191449E-06  
 -1.196789E+06   -1.196789E+05   -3.950786E+00    5.002248E-05    1.605283E-06  
 -1.196689E+06   -1.196689E+05   -3.950456E+00    1.435936E-04    4.608096E-06  
 -1.196589E+06   -1.196589E+05   -3.950126E+00    1.343216E-04    4.310545E-06  
 -1.196489E+06   -1.196489E+05   -3.949796E+00    5.534050E-04    1.775945E-05  
 -1.196389E+06   -1.196389E+05   -3.949466E+00    7.045827E-04    2.261093E-05  
 -1.196289E+06   -1.196289E+05   -3.949136E+00    2.649291E-04    8.501901E-06  
 -1.196189E+06   -1.196189E+05   -3.948806E+00    5.654713E-04    1.814667E-05  
 -1.196089E+06   -1.196089E+05   -3.948476E+00    8.737065E-04    2.803832E-05  
 -1.195989E+06   -1.195989E+05   -3.948145E+00    3.377679E-04    1.083939E-05  
 -1.195889E+06   -1.195889E+05   -3.947815E+00    6.792813E-04    2.179898E-05  
 -1.195789E+06   -1.195789E+05   -3.947485E+00    8.401027E-04    2.695993E-05  
 -1.195689E+06   -1.195689E+05   -3.947155E+00    4.130254E-04    1.325449E-05  
 -1.195589E+06   -1.195589E+05   -3.946825E+00    3.220796E-04    1.033593E-05  
 -1.195489E+06   -1.195489E+05   -3.946495E+00    3.146467E-05    1.009740E-06  
 -1.195389E+06   -1.195389E+05   -3.946165E+00    2.946799E-05    9.456643E-07  
 -1.195289E+06   -1.195289E+05   -3.945835E+00    5.491826E-05    1.762395E-06  
 -1.195189E+06   -1.195189E+05   -3.945505E+00    7.850743E-05    2.519401E-06  
 -1.195089E+06   -1.195089E+05   -3.945174E+00    8.906985E-05    2.858361E-06  
 -1.194989E+06   -1.194989E+05   -3.944844E+00    7.245859E-05    2.325286E-06  
 -1.194889E+06   -1.194889E+05   -3.944514E+00    7.349025E-05    2.358393E-06  
 -1.194789E+06   -1.194789E+05   -3.944184E+00    4.320372E-05    1.386461E-06  
 -1.194689E+06   -1.194689E+05   -3.943854E+00    4.378826E-05    1.405219E-06  
 -1.194589E+06   -1.194589E+05   -3.943524E+00    1.123477E-04    3.605377E-06  
 -1.194489E+06   -1.194489E+05   -3.943194E+00    6.277964E-05    2.014676E-06  
 -1.194389E+06   -1.194389E+05   -3.942864E+00    9.817053E-04    3.150413E-05  
 -1.194289E+06   -1.194289E+05   -3.942534E+00    2.802829E-04    8.994626E-06  
 -1.194189E+06   -1.194189E+05   -3.942203E+00    2.654189E-04    8.517620E-06  
 -1.194089E+06   -1.194089E+05   -3.941873E+00    1.490745E-04    4.783984E-06  
 -1.193989E+06   -1.193989E+05   -3.941543E+00    2.547141E-04    8.174091E-06  
 -1.193889E+06   -1.193889E+05   -3.941213E+00    2.438823E-04    7.826486E-06  
 -1.193789E+06   -1.193789E+05   -3.940883E+00    1.927373E-04    6.185177E-06  
 -1.193689E+06   -1.193689E+05   -3.940553E+00    2.138584E-04    6.862980E-06  
 -1.193589E+06   -1.193589E+05   -3.940223E+00    2.180057E-04    6.996073E-06  
 -1.193489E+06   -1.193489E+05   -3.939893E+00    6.927371E-04    2.223079E-05  
 -1.193389E+06   -1.193389E+05   -3.939562E+00    1.668965E-04    5.355915E-06  
 -1.193289E+06   -1.193289E+05   -3.939232E+00    1.122651E-04    3.602727E-06  
 -1.193189E+06   -1.193189E+05   -3.938902E+00    8.464395E-05    2.716329E-06  
 -1.193089E+06   -1.193089E+05   -3.938572E+00    3.059574E-05    9.818552E-07  
 -1.192989E+06   -1.192989E+05   -3.938242E+00    1.254153E-04    4.024731E-06  
 -1.192889E+06   -1.192889E+05   -3.937912E+00    2.256215E-04    7.240471E-06  
 -1.192789E+06   -1.192789E+05   -3.937582E+00    6.765762E-04    2.171217E-05  
 -1.192689E+06   -1.192689E+05   -3.937252E+00    5.768563E-04    1.851203E-05  
 -1.192589E+06   -1.192589E+05   -3.936922E+00    3.518717E-04    1.129200E-05  
 -1.192489E+06   -1.192489E+05   -3.936591E+00    3.189076E-04    1.023414E-05  
 -1.192389E+06   -1.192389E+05   -3.936261E+00    1.896124E-04    6.084896E-06  
 -1.192289E+06   -1.192289E+05   -3.935931E+00    6.352266E-05    2.038521E-06  
 -1.192189E+06   -1.192189E+05   -3.935601E+00    6.599774E-05    2.117949E-06  
 -1.192089E+06   -1.192089E+05   -3.935271E+00    1.295273E-04    4.156690E-06  
 -1.191989E+06   -1.191989E+05   -3.934941E+00    1.020213E-04    3.273991E-06  
 -1.191889E+06   -1.191889E+05   -3.934611E+00    2.434432E-04    7.812393E-06  
 -1.191789E+06   -1.191789E+05   -3.934281E+00    1.016835E-04    3.263148E-06  
 -1.191689E+06   -1.191689E+05   -3.933951E+00    1.582530E-04    5.078535E-06  
 -1.191589E+06   -1.191589E+05   -3.933620E+00    4.655911E-05    1.494139E-06  
 -1.191489E+06   -1.191489E+05   -3.933290E+00    8.079804E-05    2.592909E-06  
 -1.191389E+06   -1.191389E+05   -3.932960E+00    3.386854E-05    1.086883E-06  
 -1.191289E+06   -1.191289E+05   -3.932630E+00    5.931580E-05    1.903517E-06  
 -1.191189E+06   -1.191189E+05   -3.932300E+00    1.147509E-04    3.682497E-06  
 -1.191089E+06   -1.191089E+05   -3.931970E+00    2.080156E-04    6.675476E-06  
 -1.190989E+06   -1.190989E+05   -3.931640E+00    7.064092E-04    2.266954E-05  
 -1.190889E+06   -1.190889E+05   -3.931310E+00    4.091358E-04    1.312967E-05  
 -1.190789E+06   -1.190789E+05   -3.930979E+00    2.043444E-04    6.557665E-06  
