
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      81   0.244234E+01   0.114999E+02   0.885127E+01   0.769680E+00   0.328569E+00   0.269388E+02
      82   0.250092E+01   0.121937E+02   0.101454E+02   0.832017E+00   0.348392E+00   0.291206E+02
      83   0.255950E+01   0.129293E+02   0.115350E+02   0.892159E+00   0.369410E+00   0.312256E+02
      84   0.261808E+01   0.137094E+02   0.129954E+02   0.947924E+00   0.391696E+00   0.331773E+02
      85   0.267666E+01   0.145364E+02   0.144961E+02   0.997222E+00   0.415327E+00   0.349028E+02
      86   0.273524E+01   0.154134E+02   0.159631E+02   0.103566E+01   0.440383E+00   0.362482E+02
      87   0.279382E+01   0.163433E+02   0.173370E+02   0.106080E+01   0.466951E+00   0.371280E+02
      88   0.285240E+01   0.173293E+02   0.184696E+02   0.106580E+01   0.495122E+00   0.373031E+02
      89   0.291098E+01   0.183747E+02   0.192418E+02   0.104719E+01   0.524992E+00   0.366517E+02
      90   0.296955E+01   0.194832E+02   0.195399E+02   0.100291E+01   0.556664E+00   0.351018E+02
      91   0.302813E+01   0.206586E+02   0.192481E+02   0.931721E+00   0.590247E+00   0.326102E+02
      92   0.308671E+01   0.219050E+02   0.182840E+02   0.834699E+00   0.625856E+00   0.292145E+02
      93   0.314529E+01   0.232265E+02   0.165790E+02   0.713798E+00   0.663614E+00   0.249829E+02
      94   0.320387E+01   0.246277E+02   0.141327E+02   0.573854E+00   0.703649E+00   0.200849E+02
      95   0.326245E+01   0.261135E+02   0.110916E+02   0.424747E+00   0.746099E+00   0.148661E+02
      96   0.332103E+01   0.276889E+02   0.775743E+01   0.280164E+00   0.791111E+00   0.980574E+01
      97   0.337961E+01   0.293593E+02   0.458677E+01   0.156229E+00   0.838838E+00   0.546800E+01
      98   0.343819E+01   0.311305E+02   0.206652E+01   0.663826E-01   0.889444E+00   0.232339E+01
      99   0.349677E+01   0.330086E+02   0.553968E+00   0.167825E-01   0.943103E+00   0.587389E+00
     100   0.355535E+01   0.350000E+02   0.441211E-01   0.126060E-02   0.100000E+01   0.441211E-01
