 Program bfbm2
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=   1.6000000000000001     
 BRANCHPROB=   0.0000000000000000     
 DEATHPROB=   0.0000000000000000     
 MEMORY=NONE
 NT=        16384
 NTSTART=        13107
 NTEND=        16384
 L=   35.000000000000000     
 IRINIT=          43
 NCONF=       99840
 x is measured from the wall
 ==================================
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      89   0.291098E+01   0.183747E+02   0.113462E+01   0.617489E-01   0.524992E+00   0.216121E+01
      90   0.296955E+01   0.194832E+02   0.116303E+01   0.596938E-01   0.556664E+00   0.208928E+01
      91   0.302813E+01   0.206586E+02   0.115729E+01   0.560194E-01   0.590247E+00   0.196068E+01
      92   0.308671E+01   0.219050E+02   0.110941E+01   0.506463E-01   0.625856E+00   0.177262E+01
      93   0.314529E+01   0.232265E+02   0.101669E+01   0.437727E-01   0.663614E+00   0.153205E+01
      94   0.320387E+01   0.246277E+02   0.877355E+00   0.356247E-01   0.703649E+00   0.124686E+01
      95   0.326245E+01   0.261135E+02   0.700007E+00   0.268063E-01   0.746099E+00   0.938222E+00
      96   0.332103E+01   0.276889E+02   0.498148E+00   0.179909E-01   0.791111E+00   0.629681E+00
      97   0.337961E+01   0.293593E+02   0.299884E+00   0.102143E-01   0.838838E+00   0.357499E+00
      98   0.343819E+01   0.311305E+02   0.136516E+00   0.438529E-02   0.889444E+00   0.153485E+00
      99   0.349677E+01   0.330086E+02   0.368873E-01   0.111750E-02   0.943103E+00   0.391126E-01
     100   0.355535E+01   0.350000E+02   0.294420E-02   0.841200E-04   0.100000E+01   0.294420E-02
