	time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
      242    33369  0.348129E+01  0.295576E+01 -0.416580E+00  0.122105E+05  0.604912E+00  0.927156E+02
      254    32286  0.360131E+01  0.307871E+01 -0.355244E+00  0.130443E+05  0.635625E+00  0.100588E+03
      266    31204  0.373760E+01  0.320189E+01 -0.289812E+00  0.138951E+05  0.667306E+00  0.108566E+03
      279    30194  0.387786E+01  0.335023E+01 -0.617126E+00  0.147757E+05  0.699534E+00  0.117138E+03
      292    29287  0.400819E+01  0.347146E+01 -0.741554E+00  0.156388E+05  0.730729E+00  0.125277E+03
      306    28320  0.416066E+01  0.362578E+01 -0.102473E+01  0.166519E+05  0.766782E+00  0.134911E+03
      321    27350  0.432995E+01  0.378790E+01 -0.951243E+00  0.177204E+05  0.804910E+00  0.145168E+03
      337    26402  0.449992E+01  0.395246E+01 -0.100812E+01  0.188974E+05  0.846001E+00  0.156369E+03
      353    25521  0.467928E+01  0.411644E+01 -0.104494E+01  0.200512E+05  0.886360E+00  0.168262E+03
      370    24646  0.487832E+01  0.431776E+01 -0.102376E+01  0.212002E+05  0.927441E+00  0.180465E+03
      388    23776  0.508626E+01  0.450179E+01 -0.130182E+01  0.224115E+05  0.970845E+00  0.192532E+03
      407    22974  0.529607E+01  0.472850E+01 -0.158455E+01  0.237262E+05  0.101619E+01  0.205989E+03
      427    22161  0.554591E+01  0.498697E+01 -0.147865E+01  0.249186E+05  0.106035E+01  0.218767E+03
      448    21386  0.580277E+01  0.525110E+01 -0.123060E+01  0.262752E+05  0.110840E+01  0.231339E+03
      470    20666  0.606455E+01  0.554470E+01 -0.858221E+00  0.277818E+05  0.115943E+01  0.244957E+03
      493    19940  0.634614E+01  0.583203E+01 -0.119034E+01  0.293797E+05  0.121381E+01  0.260830E+03
      517    19213  0.662177E+01  0.608165E+01 -0.105071E+01  0.309533E+05  0.126925E+01  0.276381E+03
      542    18556  0.692299E+01  0.635462E+01 -0.107487E+01  0.327101E+05  0.132767E+01  0.294474E+03
      569    17887  0.723900E+01  0.665091E+01 -0.855465E+00  0.345374E+05  0.138954E+01  0.314306E+03
      597    17235  0.757134E+01  0.696255E+01 -0.765472E+00  0.362473E+05  0.145020E+01  0.330836E+03
