    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      20  -0.113100E+01   0.322711E+00   0.390789E-04   0.121096E-03   0.922031E-02   0.423835E-02
      21  -0.107242E+01   0.342180E+00   0.423752E-04   0.123839E-03   0.977656E-02   0.433436E-02
      22  -0.101384E+01   0.362823E+00   0.467117E-04   0.128745E-03   0.103664E-01   0.450608E-02
      23  -0.955260E+00   0.384712E+00   0.513907E-04   0.133582E-03   0.109918E-01   0.467538E-02
      24  -0.896681E+00   0.407921E+00   0.567023E-04   0.139003E-03   0.116549E-01   0.486511E-02
      25  -0.838102E+00   0.432531E+00   0.624634E-04   0.144414E-03   0.123580E-01   0.505448E-02
      26  -0.779522E+00   0.458625E+00   0.689945E-04   0.150438E-03   0.131036E-01   0.526532E-02
      27  -0.720943E+00   0.486293E+00   0.763978E-04   0.157102E-03   0.138941E-01   0.549858E-02
      28  -0.662364E+00   0.515631E+00   0.846311E-04   0.164131E-03   0.147323E-01   0.574459E-02
      29  -0.603784E+00   0.546739E+00   0.944473E-04   0.172747E-03   0.156211E-01   0.604614E-02
      30  -0.545205E+00   0.579723E+00   0.105284E-03   0.181611E-03   0.165635E-01   0.635640E-02
      31  -0.486626E+00   0.614697E+00   0.117795E-03   0.191631E-03   0.175628E-01   0.670707E-02
      32  -0.428046E+00   0.651781E+00   0.131923E-03   0.202403E-03   0.186223E-01   0.708411E-02
      33  -0.369467E+00   0.691102E+00   0.148283E-03   0.214560E-03   0.197458E-01   0.750958E-02
      34  -0.310888E+00   0.732796E+00   0.166920E-03   0.227785E-03   0.209370E-01   0.797247E-02
      35  -0.252308E+00   0.777005E+00   0.189527E-03   0.243920E-03   0.222001E-01   0.853719E-02
      36  -0.193729E+00   0.823881E+00   0.214656E-03   0.260542E-03   0.235395E-01   0.911899E-02
      37  -0.135150E+00   0.873585E+00   0.243794E-03   0.279073E-03   0.249596E-01   0.976754E-02
      38  -0.765705E-01   0.926288E+00   0.278628E-03   0.300800E-03   0.264654E-01   0.105280E-01
      39  -0.179912E-01   0.982170E+00   0.318504E-03   0.324286E-03   0.280620E-01   0.113500E-01
      40   0.405882E-01   0.104142E+01   0.366021E-03   0.351462E-03   0.297549E-01   0.123012E-01
