 Program bfbm2
 Log. density distribution between NTSTART and NTEND
 STEPSIG=   1.0000000000000000     
 GAMMMA=  0.20000000000000001     
 BRANCHPROB=   0.0000000000000000     
 DEATHPROB=   0.0000000000000000     
 MEMORY=NONE
 NT=        16384
 NTSTART=        13107
 NTEND=        16384
 L=   1061.0000000000000     
 IRINIT=          43
 NCONF=       99840
 x is measured from the wall
 ==================================
    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x=exp(ln(x))   P(ln(x))  P(x)=P(ln(x))/x   x/L    P(x)*L
      75   0.464958E+01   0.104541E+03   0.620082E-01   0.593147E-03   0.985306E-01   0.629329E+00
      76   0.474227E+01   0.114695E+03   0.644058E-01   0.561541E-03   0.108101E+00   0.595795E+00
      77   0.483497E+01   0.125835E+03   0.668817E-01   0.531504E-03   0.118600E+00   0.563925E+00
      78   0.492767E+01   0.138057E+03   0.691837E-01   0.501125E-03   0.130120E+00   0.531693E+00
      79   0.502036E+01   0.151466E+03   0.715928E-01   0.472666E-03   0.142758E+00   0.501498E+00
      80   0.511306E+01   0.166178E+03   0.743295E-01   0.447290E-03   0.156623E+00   0.474575E+00
      81   0.520575E+01   0.182318E+03   0.776759E-01   0.426046E-03   0.171836E+00   0.452035E+00
      82   0.529845E+01   0.200026E+03   0.811494E-01   0.405694E-03   0.188526E+00   0.430442E+00
      83   0.539114E+01   0.219454E+03   0.841941E-01   0.383652E-03   0.206837E+00   0.407055E+00
      84   0.548384E+01   0.240769E+03   0.879832E-01   0.365426E-03   0.226927E+00   0.387717E+00
      85   0.557653E+01   0.264155E+03   0.917316E-01   0.347265E-03   0.248968E+00   0.368448E+00
      86   0.566923E+01   0.289811E+03   0.967477E-01   0.333830E-03   0.273149E+00   0.354194E+00
      87   0.576193E+01   0.317960E+03   0.103600E+00   0.325829E-03   0.299679E+00   0.345704E+00
      88   0.585462E+01   0.348843E+03   0.109748E+00   0.314606E-03   0.328787E+00   0.333797E+00
      89   0.594732E+01   0.382725E+03   0.115792E+00   0.302546E-03   0.360721E+00   0.321001E+00
      90   0.604001E+01   0.419898E+03   0.124169E+00   0.295713E-03   0.395757E+00   0.313751E+00
      91   0.613271E+01   0.460682E+03   0.132535E+00   0.287693E-03   0.434196E+00   0.305242E+00
      92   0.622540E+01   0.505427E+03   0.143410E+00   0.283741E-03   0.476368E+00   0.301050E+00
      93   0.631810E+01   0.554518E+03   0.158736E+00   0.286260E-03   0.522637E+00   0.303722E+00
      94   0.641079E+01   0.608377E+03   0.175604E+00   0.288644E-03   0.573399E+00   0.306252E+00
      95   0.650349E+01   0.667467E+03   0.197618E+00   0.296072E-03   0.629092E+00   0.314133E+00
      96   0.659619E+01   0.732296E+03   0.231148E+00   0.315648E-03   0.690194E+00   0.334902E+00
      97   0.668888E+01   0.803422E+03   0.283487E+00   0.352850E-03   0.757231E+00   0.374373E+00
      98   0.678158E+01   0.881457E+03   0.377535E+00   0.428308E-03   0.830779E+00   0.454435E+00
      99   0.687427E+01   0.967071E+03   0.650671E+00   0.672827E-03   0.911471E+00   0.713869E+00
     100   0.696697E+01   0.106100E+04   0.329246E+01   0.310317E-02   0.100000E+01   0.329246E+01
