Program Mean-density FBM Gaussian Binned (procs as sets)
Instantaneous probability density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 1.0000000000000000
NT= 262144
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 1080
IRINIT= 1
NCONF= 69120
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 262144
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 262134
NTEND= 262144
REBIN_BINWIDTH_FACTOR= 10
x_rms(t_last=235987)= 973.749454428602
==================================
 ibin            x               x/x_rms         P(|x|)          x_rms*P        
 -2.286300E+04   -2.286300E+03   -2.347935E+00    1.153043E-05    1.122775E-02  
 -2.285300E+04   -2.285300E+03   -2.346908E+00    1.281615E-05    1.247972E-02  
 -2.284300E+04   -2.284300E+03   -2.345881E+00    3.495751E-05    3.403985E-02  
 -2.283300E+04   -2.283300E+03   -2.344854E+00    5.181676E-05    5.045655E-02  
 -2.282300E+04   -2.282300E+03   -2.343827E+00    2.712473E-05    2.641269E-02  
 -2.281300E+04   -2.281300E+03   -2.342800E+00    2.601295E-05    2.533010E-02  
 -2.280300E+04   -2.280300E+03   -2.341773E+00    1.636098E-05    1.593150E-02  
 -2.279300E+04   -2.279300E+03   -2.340746E+00    6.492186E-06    6.321762E-03  
 -2.278300E+04   -2.278300E+03   -2.339719E+00    1.701805E-05    1.657132E-02  
 -2.277300E+04   -2.277300E+03   -2.338692E+00    4.095674E-05    3.988160E-02  
 -2.276300E+04   -2.276300E+03   -2.337665E+00    5.410653E-05    5.268620E-02  
 -2.275300E+04   -2.275300E+03   -2.336638E+00    4.874522E-05    4.746563E-02  
 -2.274300E+04   -2.274300E+03   -2.335611E+00    3.144488E-05    3.061944E-02  
 -2.273300E+04   -2.273300E+03   -2.334584E+00    1.019806E-05    9.930355E-03  
 -2.272300E+04   -2.272300E+03   -2.333557E+00    2.703850E-07    2.632872E-04  
 -2.271300E+04   -2.271300E+03   -2.332530E+00    0.000000E+00    0.000000E+00  
 -2.270300E+04   -2.270300E+03   -2.331503E+00    0.000000E+00    0.000000E+00  
 -2.269300E+04   -2.269300E+03   -2.330476E+00    9.308234E-07    9.063887E-04  
 -2.268300E+04   -2.268300E+03   -2.329449E+00    1.520917E-05    1.480992E-02  
 -2.267300E+04   -2.267300E+03   -2.328422E+00    1.699848E-05    1.655226E-02  
 -2.266300E+04   -2.266300E+03   -2.327395E+00    1.739459E-05    1.693797E-02  
 -2.265300E+04   -2.265300E+03   -2.326368E+00    2.152100E-05    2.095606E-02  
 -2.264300E+04   -2.264300E+03   -2.325341E+00    7.032137E-06    6.847539E-03  
 -2.263300E+04   -2.263300E+03   -2.324315E+00    9.887126E-07    9.627584E-04  
 -2.262300E+04   -2.262300E+03   -2.323288E+00    1.375457E-05    1.339351E-02  
 -2.261300E+04   -2.261300E+03   -2.322261E+00    2.440349E-05    2.376289E-02  
 -2.260300E+04   -2.260300E+03   -2.321234E+00    1.741148E-05    1.695442E-02  
 -2.259300E+04   -2.259300E+03   -2.320207E+00    1.368209E-05    1.332293E-02  
 -2.258300E+04   -2.258300E+03   -2.319180E+00    1.915994E-05    1.865699E-02  
 -2.257300E+04   -2.257300E+03   -2.318153E+00    1.881651E-05    1.832256E-02  
 -2.256300E+04   -2.256300E+03   -2.317126E+00    1.661731E-05    1.618109E-02  
 -2.255300E+04   -2.255300E+03   -2.316099E+00    2.492288E-05    2.426864E-02  
 -2.254300E+04   -2.254300E+03   -2.315072E+00    1.738344E-05    1.692712E-02  
 -2.253300E+04   -2.253300E+03   -2.314045E+00    1.587365E-05    1.545696E-02  
 -2.252300E+04   -2.252300E+03   -2.313018E+00    2.957885E-05    2.880239E-02  
 -2.251300E+04   -2.251300E+03   -2.311991E+00    4.403141E-05    4.287556E-02  
 -2.250300E+04   -2.250300E+03   -2.310964E+00    3.130265E-05    3.048094E-02  
 -2.249300E+04   -2.249300E+03   -2.309937E+00    2.060460E-05    2.006371E-02  
 -2.248300E+04   -2.248300E+03   -2.308910E+00    9.102067E-06    8.863133E-03  
 -2.247300E+04   -2.247300E+03   -2.307883E+00    3.558178E-07    3.464774E-04  
