 ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x  P(ln(x))  P(x)  x/L    P(x)*L
      20  -0.448675E+00   0.638474E+00   0.271905E-01   0.425866E-01   0.601766E-03   0.451844E+02
      21  -0.355979E+00   0.700487E+00   0.252089E-01   0.359877E-01   0.660214E-03   0.381830E+02
      22  -0.263284E+00   0.768524E+00   0.233897E-01   0.304345E-01   0.724339E-03   0.322910E+02
      23  -0.170588E+00   0.843169E+00   0.219151E-01   0.259914E-01   0.794693E-03   0.275769E+02
      24  -0.778926E-01   0.925064E+00   0.204904E-01   0.221502E-01   0.871879E-03   0.235014E+02
      25   0.148030E-01   0.101491E+01   0.193451E-01   0.190608E-01   0.956563E-03   0.202235E+02
      26   0.107498E+00   0.111349E+01   0.184342E-01   0.165553E-01   0.104947E-02   0.175652E+02
      27   0.200194E+00   0.122164E+01   0.177000E-01   0.144887E-01   0.115140E-02   0.153725E+02
      28   0.292890E+00   0.134029E+01   0.172015E-01   0.128342E-01   0.126324E-02   0.136170E+02
      29   0.385585E+00   0.147047E+01   0.168667E-01   0.114702E-01   0.138593E-02   0.121699E+02
      30   0.478281E+00   0.161330E+01   0.167160E-01   0.103614E-01   0.152054E-02   0.109934E+02
      31   0.570976E+00   0.176999E+01   0.167260E-01   0.944977E-02   0.166823E-02   0.100262E+02
      32   0.663672E+00   0.194191E+01   0.167746E-01   0.863818E-02   0.183026E-02   0.916511E+01
      33   0.756367E+00   0.213052E+01   0.169312E-01   0.794698E-02   0.200803E-02   0.843174E+01
      34   0.849063E+00   0.233745E+01   0.172195E-01   0.736676E-02   0.220307E-02   0.781614E+01
      35   0.941758E+00   0.256449E+01   0.174236E-01   0.679417E-02   0.241705E-02   0.720862E+01
      36   0.103445E+01   0.281357E+01   0.177286E-01   0.630112E-02   0.265181E-02   0.668549E+01
      37   0.112715E+01   0.308684E+01   0.180917E-01   0.586090E-02   0.290937E-02   0.621842E+01
      38   0.121984E+01   0.338666E+01   0.184811E-01   0.545704E-02   0.319195E-02   0.578992E+01
      39   0.131254E+01   0.371560E+01   0.188065E-01   0.506150E-02   0.350198E-02   0.537025E+01
