    ilogbin    ln(x)=LNXMIN+ilogbin*DELLNX/NLOGBIN  x   P(ln(x))  P(x)   x/L    P(x)*L
      76   0.268702E+01   0.146878E+02   0.220191E+00   0.149914E-01   0.206870E+00   0.106439E+01
      77   0.275267E+01   0.156844E+02   0.235295E+00   0.150018E-01   0.220908E+00   0.106513E+01
      78   0.281832E+01   0.167487E+02   0.251358E+00   0.150076E-01   0.235897E+00   0.106554E+01
      79   0.288397E+01   0.178852E+02   0.268553E+00   0.150154E-01   0.251904E+00   0.106609E+01
      80   0.294963E+01   0.190988E+02   0.286892E+00   0.150214E-01   0.268998E+00   0.106652E+01
      81   0.301528E+01   0.203948E+02   0.306406E+00   0.150237E-01   0.287251E+00   0.106668E+01
      82   0.308093E+01   0.217787E+02   0.327295E+00   0.150282E-01   0.306742E+00   0.106700E+01
      83   0.314658E+01   0.232565E+02   0.349650E+00   0.150345E-01   0.327556E+00   0.106745E+01
      84   0.321224E+01   0.248346E+02   0.373659E+00   0.150459E-01   0.349783E+00   0.106826E+01
      85   0.327789E+01   0.265198E+02   0.399230E+00   0.150541E-01   0.373518E+00   0.106884E+01
      86   0.334354E+01   0.283193E+02   0.426374E+00   0.150560E-01   0.398863E+00   0.106897E+01
      87   0.340920E+01   0.302409E+02   0.455270E+00   0.150548E-01   0.425928E+00   0.106889E+01
      88   0.347485E+01   0.322929E+02   0.486111E+00   0.150532E-01   0.454830E+00   0.106878E+01
      89   0.354050E+01   0.344842E+02   0.518949E+00   0.150489E-01   0.485693E+00   0.106847E+01
      90   0.360615E+01   0.368241E+02   0.554189E+00   0.150496E-01   0.518650E+00   0.106852E+01
      91   0.367181E+01   0.393229E+02   0.591755E+00   0.150486E-01   0.553843E+00   0.106845E+01
      92   0.373746E+01   0.419911E+02   0.631754E+00   0.150449E-01   0.591425E+00   0.106819E+01
      93   0.380311E+01   0.448405E+02   0.674460E+00   0.150413E-01   0.631556E+00   0.106793E+01
      94   0.386876E+01   0.478832E+02   0.719927E+00   0.150351E-01   0.674411E+00   0.106749E+01
      95   0.393442E+01   0.511323E+02   0.768348E+00   0.150267E-01   0.720173E+00   0.106689E+01
      96   0.400007E+01   0.546019E+02   0.819581E+00   0.150101E-01   0.769041E+00   0.106572E+01
      97   0.406572E+01   0.583070E+02   0.872182E+00   0.149584E-01   0.821225E+00   0.106205E+01
      98   0.413137E+01   0.622635E+02   0.909639E+00   0.146095E-01   0.876950E+00   0.103728E+01
      99   0.419703E+01   0.664884E+02   0.823788E+00   0.123900E-01   0.936456E+00   0.879687E+00
     100   0.426268E+01   0.710000E+02   0.221526E+00   0.312009E-02   0.100000E+01   0.221526E+00
